1266,1,1266
1852,2,1852
2057,2,2057
3490,0,5490
5975,1,5975
6651,0,6651
7272,3,7272
9066,2,9066
9751,3,9751
10513,0,10513
10727,3,10727
11219,1,11219
11710,0,11710
12485,2,12485
12695,1,12695
13853,0,13853
14615,0,14615
15891,3,17391
17386,0,17386
18255,1,18255
19119,0,19119
19472,3,21472
19707,1,19707
20056,2,20056
20748,0,20748
22514,0,22514
22908,3,22908
23247,1,23247
23414,2,23414
23864,3,23864
24357,0,24357
25043,3,25043
25500,1,25500
25876,2,25876
26241,3,26241
26501,0,26501
26881,1,26881
27375,2,27375
28042,3,28042
28454,0,28454
28917,2,28917
29282,3,29282
29739,1,29739
30096,0,30096
30489,3,30489
30863,1,30863
31279,0,31279
31604,2,32604
33016,0,33016
33611,0,33611
34008,2,34008
34243,0,34243
34663,2,34663
34843,0,34843
35425,3,35425
35807,0,35807
36204,1,36204
36691,3,36691
37119,0,37119
37486,3,37486
37692,1,37692
38269,3,38269
38478,0,38478
38846,3,38846
39196,2,39196
39365,2,39365
39770,3,39770
40164,0,40164
40552,3,40552
40966,1,40966
41422,3,41422
41803,0,41803
42194,3,42194
42434,1,42434
42878,3,42878
43278,0,43278
43707,1,43707
44085,2,44085
44770,3,44770
44964,0,44964
45451,3,45451
45759,1,45759
46155,0,46155
46521,3,46521
46544,0,46544
46754,3,46754
46761,0,46761
47423,2,47423
47899,3,47899
48286,0,48286
48568,2,48568
49141,1,49141
49582,2,49582
49820,3,49820
50348,0,50348
50564,3,50564
50854,1,50854
51238,2,51238
51507,3,51507
51915,0,51915
52288,1,52288
52661,3,52661
52931,2,52931
53593,0,53593
54018,3,54018
54378,1,54378
54836,3,54836
55403,2,55403
55725,3,55725
56264,0,56264
57000,0,59000
57523,3,57523
58292,2,58292
59273,3,59273
59961,2,59961
60351,3,60351
60802,0,60802
61199,3,61199
61604,1,61604
62360,2,62360
62702,3,62702
62944,0,62944
63713,3,63713
64541,0,64541
64974,3,64974
65365,0,65365
65830,3,65830
66232,0,66232
66570,3,66570
66802,0,66802
67003,3,67003
67408,3,67408
67850,0,67850
68281,3,68281
68734,0,68734
69155,1,69155
69800,2,71800
70120,1,70120
71831,0,71831
73115,3,73115
73616,0,73616
74567,3,74567
75774,0,75774
76113,3,78113
76519,0,76519
76889,1,76889
77091,2,77091
77955,0,77955
78675,0,78675
70000,2,100000
